Subject,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,marker
BtnAAB216B5,-10,-2597,3162,37,17,31, 
BtnAAB216B5,-7,-2601,3163,33,6,28, 
BtnAAB216B5,10,-2607,3162,30,-3,27, 
BtnAAB216B5,36,-2626,3157,29,-12,24, 
BtnAAB216B5,56,-2609,3173,26,-15,20, 
BtnAAB216B5,62,-2610,3173,25,-16,16, 
BtnAAB216B5,82,-2619,3167,25,-15,14, 
BtnAAB216B5,95,-2606,3175,25,-18,12, 
BtnAAB216B5,99,-2600,3185,25,-20,9, 
BtnAAB216B5,82,-2605,3173,27,-17,8, 
BtnAAB216B5,79,-2615,3175,28,-13,7, 
BtnAAB216B5,65,-2625,3176,30,-12,6, 
BtnAAB216B5,49,-2627,3180,34,-16,3, 
BtnAAB216B5,56,-2627,3185,34,-23,4, 
BtnAAB216B5,61,-2643,3197,38,-30,1, 
BtnAAB216B5,41,-2638,3230,41,-40,-3, 
BtnAAB216B5,60,-2635,3238,41,-50,1, 
BtnAAB216B5,94,-2609,3220,46,-57,3, 
BtnAAB216B5,104,-2589,3196,47,-56,8, 
BtnAAB216B5,119,-2579,3171,44,-48,10, 
BtnAAB216B5,22,-2526,3092,36,-5,-6, 
BtnAAB216B5,100,-2591,3134,40,28,16, 
BtnAAB216B5,143,-2627,3208,45,-15,46, 
BtnAAB216B5,141,-2602,3185,37,-54,26, 
BtnAAB216B5,131,-2609,3152,32,-63,18, 
BtnAAB216B5,141,-2642,3174,34,-60,17, 
BtnAAB216B5,203,-2664,3221,33,-64,18, 
BtnAAB216B5,218,-2651,3276,35,-49,17, 
BtnAAB216B5,186,-2658,3264,42,-28,17, 
BtnAAB216B5,208,-2679,3262,48,-9,24, 
BtnAAB216B5,185,-2639,3261,55,13,26, 
BtnAAB216B5,205,-2609,3241,59,20,31, 
BtnAAB216B5,188,-2583,3187,59,28,27, 
BtnAAB216B5,131,-2568,3173,58,36,22, 
BtnAAB216B5,157,-2553,3223,53,31,32, 
BtnAAB216B5,139,-2561,3252,51,33,33, 
BtnAAB216B5,102,-2556,3281,50,42,29, 
BtnAAB216B5,116,-2563,3285,49,49,31, 
BtnAAB216B5,82,-2527,3276,55,55,34, 
BtnAAB216B5,60,-2509,3254,57,54,36, 
BtnAAB216B5,49,-2500,3230,54,48,36, 
BtnAAB216B5,48,-2486,3229,48,40,33, 
BtnAAB216B5,56,-2496,3229,43,34,30, 
BtnAAB216B5,56,-2500,3224,41,34,30, 
BtnAAB216B5,51,-2512,3232,41,35,30, 
BtnAAB216B5,44,-2518,3241,41,35,27, 
BtnAAB216B5,42,-2520,3229,41,33,28, 
BtnAAB216B5,38,-2503,3217,38,32,22, 
BtnAAB216B5,51,-2525,3208,32,28,16, 
BtnAAB216B5,30,-2510,3217,31,26,13, 
BtnAAB216B5,9,-2504,3230,30,25,9, 
BtnAAB216B5,4,-2502,3242,26,24,7, 
BtnAAB216B5,7,-2509,3241,25,23,6, 
BtnAAB216B5,16,-2497,3240,24,18,7, 
BtnAAB216B5,27,-2500,3233,20,11,5, 
BtnAAB216B5,30,-2511,3231,17,7,1, 
BtnAAB216B5,40,-2507,3247,14,3,1, 
BtnAAB216B5,23,-2515,3258,11,-2,-2, 
BtnAAB216B5,18,-2517,3268,11,-5,-5, 
BtnAAB216B5,38,-2509,3265,7,-9,-5, 
BtnAAB216B5,36,-2521,3252,6,-11,-5, 
BtnAAB216B5,54,-2503,3253,6,-11,-5, 
BtnAAB216B5,69,-2504,3252,4,-10,-4, 
BtnAAB216B5,59,-2503,3239,4,-8,-3, 
BtnAAB216B5,57,-2517,3243,0,-13,-2, 
BtnAAB216B5,67,-2526,3241,-4,-15,1, 
BtnAAB216B5,73,-2521,3229,-5,-18,1, 
BtnAAB216B5,82,-2529,3230,-6,-20,-1, 
BtnAAB216B5,119,-2509,3230,-6,-22,4, 
BtnAAB216B5,137,-2509,3229,-8,-17,8, 
BtnAAB216B5,120,-2528,3228,-9,-8,8, 
BtnAAB216B5,106,-2537,3236,-10,2,10, 
BtnAAB216B5,101,-2539,3259,-9,6,7, 
