AccelerometerX,AccelerometerY,AccelerometerZ
-512,1190,4125
-486,1198,4123
-481,1204,4137
-465,1197,4146
-440,1202,4143
-434,1224,4129
-456,1220,4123
-491,1177,4131
-512,1150,4134
-521,1163,4122
-513,1175,4116
-477,1208,4101
-483,1256,4077
-521,1286,4096
-544,1283,4125
-562,1249,4137
-580,1219,4156
-570,1190,4137
-509,1164,4093
-454,1176,4054
-472,1217,4044
-546,1225,4046
-604,1190,4073
-600,1168,4093
-593,1177,4097
-607,1188,4087
-613,1192,4081
-614,1219,4075
-601,1234,4044
-599,1235,4025
-624,1245,4046
-656,1239,4082
-656,1224,4110
-620,1224,4099
-609,1243,4069
-620,1264,4073
-635,1257,4108
-616,1245,4120
-592,1243,4121
-576,1256,4117
-562,1255,4116
-558,1245,4105
-578,1240,4111
-622,1240,4141
-658,1238,4179
-654,1240,4201
-668,1248,4210
-745,1279,4199
-840,1284,4211
-872,1259,4210
-881,1278,4181
-914,1331,4166
-941,1393,4150
-969,1441,4163
-1020,1500,4192
-1068,1536,4185
-1094,1523,4195
-1101,1473,4204
-1067,1441,4200
-1033,1457,4153
-1057,1518,4080
-1074,1557,4042
-1060,1587,4043
-1055,1600,4037
-1057,1602,4026
-1088,1599,4034
-1166,1581,4055
-1215,1535,4082
-1229,1515,4078
-1203,1532,4034
-1125,1571,3976
-1065,1593,3964
-1049,1600,3982
-1047,1614,4017
-1047,1627,4018
-1003,1589,3964
-991,1561,3914
-1025,1588,3891
-1023,1608,3934
-1001,1603,3959
-995,1572,3940
-1005,1557,3891
-1014,1571,3890
-964,1533,3899
-940,1483,3880
-946,1481,3861
-901,1491,3911
-827,1494,3975
-787,1477,4007
-727,1440,3999
-684,1413,3934
-647,1435,3865
-539,1457,3818
-443,1452,3789
-385,1441,3823
-336,1415,3893
-328,1381,3960
-387,1339,3945
-396,1299,3927
-362,1282,3772
-302,1338,3789
-215,1368,3799
-92,1352,3782
-59,1358,3861
-101,1387,3924
-149,1382,3945
-209,1321,3931
