AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-2348.0,3351.0,-127.0,-108.0,8956.0,-5347.0
-767.0,3409.0,353.0,-3866.0,8032.0,-421.0
-466.0,3127.0,1096.0,377.0,-4812.0,2010.0
-901.0,2413.0,1541.0,-328.0,-9283.0,2759.0
-1386.0,1885.0,1633.0,785.0,-9160.0,4748.0
-1475.0,1801.0,1212.0,660.0,-8534.0,6383.0
-1268.0,1857.0,872.0,495.0,-7825.0,5498.0
-782.0,1883.0,628.0,572.0,-7331.0,4723.0
1119.0,1603.0,274.0,1359.0,-7822.0,4456.0
1829.0,1650.0,174.0,2130.0,-8297.0,4392.0
2166.0,1779.0,-101.0,2339.0,-8223.0,4191.0
2240.0,1668.0,-225.0,2135.0,-7900.0,3782.0
2216.0,1689.0,-292.0,1708.0,-7605.0,3157.0
2118.0,1773.0,-282.0,1170.0,-6864.0,2417.0
1823.0,1811.0,-99.0,761.0,-5498.0,1593.0
798.0,1672.0,143.0,489.0,-4230.0,709.0
-786.0,1689.0,577.0,-66.0,-3040.0,-202.0
-2367.0,1780.0,2011.0,-627.0,-1570.0,-1183.0
-3925.0,1937.0,4284.0,-1028.0,-185.0,-2145.0
-5171.0,1884.0,6907.0,-1542.0,1304.0,-3040.0
-4886.0,663.0,7704.0,-2232.0,3097.0,-3980.0
-2181.0,-200.0,2804.0,-2914.0,4832.0,-5107.0
-1676.0,2892.0,-5466.0,-3673.0,6824.0,-6398.0
-6978.0,2505.0,-8355.0,-4897.0,16000.0,-7936.0
-12650.0,-3189.0,-2851.0,-2161.0,18686.0,-6963.0
-16090.0,-880.0,-4844.0,3469.0,21874.0,-5554.0
-8915.0,1043.0,-3479.0,6831.0,22463.0,-5705.0
-5640.0,1517.0,-2758.0,2210.0,21570.0,-5005.0
-3297.0,2260.0,-2021.0,-469.0,16393.0,-1497.0
-1964.0,1859.0,-467.0,-684.0,6224.0,1607.0
-1105.0,1336.0,802.0,-1267.0,175.0,4179.0
-463.0,1122.0,1588.0,-1752.0,-5011.0,6075.0
22.0,1201.0,1549.0,-1473.0,-9062.0,6985.0
507.0,1541.0,1192.0,-677.0,-11744.0,7354.0
500.0,1772.0,966.0,-751.0,-12873.0,7210.0
253.0,1903.0,930.0,-953.0,-11976.0,6854.0
259.0,2014.0,409.0,-446.0,-11108.0,6750.0
350.0,2072.0,-74.0,221.0,-10932.0,6723.0
624.0,2030.0,-494.0,968.0,-10541.0,6649.0
