AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
827.0,1225.0,3446.0,-725.0,-4171.0,170.0
772.0,1120.0,3542.0,-1112.0,-3355.0,-127.0
909.0,970.0,3692.0,-812.0,-1733.0,-232.0
1012.0,925.0,3676.0,278.0,1082.0,-414.0
1061.0,1007.0,3593.0,-7.0,984.0,-558.0
1005.0,1088.0,3622.0,-286.0,831.0,-655.0
986.0,1014.0,3856.0,-323.0,764.0,-706.0
1154.0,930.0,4021.0,-199.0,832.0,-746.0
1307.0,936.0,4092.0,-125.0,984.0,-755.0
1493.0,928.0,3994.0,-153.0,1149.0,-755.0
1440.0,896.0,3767.0,-193.0,1372.0,-754.0
954.0,948.0,3629.0,-173.0,1731.0,-742.0
376.0,948.0,3584.0,-203.0,2383.0,-696.0
-250.0,944.0,3599.0,-151.0,3330.0,-624.0
-705.0,907.0,3585.0,-53.0,4653.0,-519.0
-904.0,967.0,3395.0,16.0,6271.0,-408.0
-1005.0,953.0,3112.0,205.0,7803.0,-338.0
-1030.0,890.0,2893.0,353.0,9160.0,-229.0
-1166.0,876.0,2779.0,496.0,10265.0,-84.0
-1225.0,848.0,2538.0,692.0,10877.0,-24.0
-1082.0,874.0,2239.0,871.0,11073.0,-30.0
-1031.0,907.0,1876.0,1315.0,11331.0,-112.0
-972.0,981.0,1469.0,1600.0,11656.0,-127.0
-1093.0,1000.0,1064.0,1882.0,12344.0,-60.0
-2436.0,904.0,-949.0,2172.0,13209.0,31.0
-2811.0,926.0,-1716.0,2504.0,14283.0,135.0
-3603.0,1190.0,-2193.0,2709.0,15659.0,316.0
-4567.0,1374.0,-2210.0,2889.0,16889.0,433.0
-5458.0,1516.0,-2159.0,3055.0,17992.0,518.0
-5988.0,1692.0,-2460.0,3288.0,18782.0,585.0
-6100.0,1837.0,-2594.0,3596.0,19053.0,617.0
-5561.0,1873.0,-2752.0,3909.0,18634.0,559.0
-4991.0,1903.0,-2496.0,4006.0,17632.0,397.0
-4478.0,1735.0,-2102.0,3710.0,16029.0,299.0
-4119.0,1650.0,-1851.0,3409.0,13361.0,195.0
-4182.0,1548.0,-1771.0,3063.0,10088.0,105.0
-4406.0,1556.0,-1897.0,2561.0,6858.0,8.0
-4580.0,1679.0,-1969.0,1999.0,4109.0,15.0
-4509.0,1711.0,-1742.0,1396.0,2182.0,-75.0
-4305.0,1675.0,-1546.0,259.0,308.0,-525.0
