AccelerometerX,AccelerometerY,AccelerometerZ,Subject
-1414,-893,3909,1
-1401,-870,3915,1
-1368,-872,3907,1
-1339,-863,3956,1
-1303,-842,3937,1
-1339,-834,3940,1
-1327,-805,3903,1
-1313,-758,3908,1
-1343,-811,3929,1
-1376,-873,3965,1
-1444,-848,3950,1
-1379,-791,3899,1
-1307,-738,3873,1
-1246,-717,3971,1
-1189,-702,3946,1
-1169,-670,3833,1
-1116,-612,3855,1
-1169,-715,3962,1
-1187,-728,4036,1
-1108,-701,3935,1
-1067,-620,3914,1
-1129,-669,3904,1
-1221,-701,3977,1
-1190,-676,4057,1
-1103,-605,3986,1
-1168,-648,3948,1
-1231,-661,3864,1
-1182,-672,3903,1
-1231,-711,4011,1
-1180,-696,3874,1
-1177,-725,3860,1
-1186,-708,3880,1
-1037,-691,4011,1
-997,-664,3944,1
-969,-642,3903,1
-940,-661,3940,1
-957,-651,3971,1
-933,-628,4002,1
-959,-654,3966,1
-991,-674,3966,1
-1017,-673,3996,1
-1060,-698,3990,1
-1078,-674,3951,1
-1068,-705,3994,1
-1108,-711,3982,1
-1126,-702,3999,1
-1175,-715,3969,1
-1173,-707,3963,1
-1202,-699,4014,1
-1188,-713,3982,1
-1194,-711,3980,1
-1234,-710,3953,1
-1207,-693,3916,1
-1202,-710,3944,1
-1185,-706,3962,1
-1202,-734,3947,1
-1210,-724,3888,1
-1213,-736,3908,1
-1202,-750,4005,1
-1201,-746,3974,1
-1187,-750,3991,1
-1167,-747,4001,1
-1156,-744,3988,1
-1154,-732,4004,1
-1163,-742,3986,1
-1143,-745,3984,1
-1160,-732,3987,1
-1153,-738,4011,1
-1125,-713,3958,1
-1133,-728,3953,1
-1156,-760,3977,1
-1161,-767,3984,1
-1146,-733,3969,1
-1149,-741,3999,1
-1141,-742,4019,1
-1110,-757,3934,1
-1102,-771,3897,1
-1101,-753,3931,1
-1117,-763,3955,1
-1109,-767,3960,1
-1114,-776,3880,1
-1101,-790,3907,1
-1102,-796,3884,1
-1078,-785,3859,1
-1066,-808,3908,1
-1099,-810,3898,1
-1112,-783,3888,1
-1110,-805,3934,1
-1132,-827,4029,1
-1144,-837,4051,1
-1110,-816,4046,1
-1088,-785,4017,1
-1077,-806,4025,1
-1089,-803,4044,1
-1113,-824,4069,1
-1115,-796,4162,1
-1073,-773,4250,1
-1009,-769,4440,1
-977,-674,4797,1
-1246,-715,5335,1
-1453,-689,6398,1
-1727,-558,7809,1
-2174,-588,8608,1
-2453,-648,8878,1
-2006,-542,8089,1
-1450,-460,6827,1
-880,-1069,5145,1
-724,-1153,5108,1
-758,-1201,3919,1
-906,-1011,2656,1
-763,-664,1987,1
-487,-454,2207,1
-604,-619,2483,1
-549,-690,2526,1
-467,-572,2023,1
-382,-352,1471,1
-224,-200,1061,1
-287,-153,460,1
-429,-152,216,1
-223,-2,263,1
62,240,436,1
155,131,425,1
31,-90,453,1
88,-112,623,1
304,52,770,1
8,-113,1378,1
120,-357,1952,1
-23,-675,2593,1
-366,-643,3311,1
-1014,-670,3627,1
-1263,-685,3598,1
-1160,-689,3692,1
-2165,-933,4619,1
-2821,-1389,5663,1
-3068,-1297,6430,1
-2849,-993,6841,1
-2847,-1122,7801,1
-2611,-772,7731,1
-2422,-408,6944,1
-2152,-387,6488,1
-2069,-295,5982,1
-1975,-416,5590,1
-1506,-393,4378,1
-1421,-379,4162,1
-1356,-479,3888,1
-1325,-631,3797,1
-1190,-620,3826,1
-1115,-709,4022,1
-1099,-747,4026,1
-1139,-802,3991,1
-1102,-801,3995,1
-1100,-793,3972,1
-1090,-790,3956,1
-1130,-825,3984,1
-1140,-784,4045,1
-1188,-832,4085,1
-1228,-805,4017,1
-1229,-793,4021,1
-1189,-788,3931,1
-1190,-768,3974,1
-1161,-802,3986,1
-1162,-808,4053,1
-1157,-816,4018,1
-1141,-803,4025,1
-1116,-807,3987,1
-1112,-810,3951,1
-1140,-831,3929,1
-1114,-796,3960,1
-1089,-814,3967,1
-1071,-826,3965,1
-1106,-830,3935,1
-1127,-846,3919,1
-1150,-849,3946,1
-1117,-810,3947,1
-1131,-818,3927,1
-1132,-808,3953,1
-1095,-818,3992,1
-1077,-784,3953,1
-1113,-800,3915,1
-1093,-833,4016,1
-1087,-810,3993,1
-1118,-811,3979,1
-1156,-819,3976,1
-1132,-808,3983,1
-1097,-807,3985,1
-1069,-796,3981,1
-1068,-791,3960,1
-1084,-808,3982,1
-1086,-804,3970,1
-1078,-810,3978,1
-1072,-802,3991,1
-1088,-835,4017,1
-1107,-836,4041,1
-1095,-810,3976,1
-1113,-796,3963,1
-1138,-813,3962,1
-1114,-804,3996,1
-1142,-798,3950,1
-1139,-802,3978,1
-1120,-798,4001,1
-1105,-821,3978,1
-1111,-801,3961,1
-1093,-812,3917,1
-1074,-789,3959,1
-1065,-771,3949,1
-1080,-785,3955,1
-1085,-797,3966,1
-1045,-770,3969,1
-1037,-765,3967,1
-1054,-783,3996,1
-1116,-784,4020,1
-1179,-803,4025,1
-1237,-783,4082,1
-1274,-764,4079,1
-1369,-757,4146,1
-1430,-742,4148,1
-1561,-757,4010,1
-1480,-731,3981,1
-1408,-679,3910,1
-1331,-694,3923,1
-1323,-710,3991,1
-1334,-617,3952,1
-1426,-653,3971,1
-1430,-633,3901,1
-1278,-574,3924,1
-1206,-533,3955,1
-1303,-593,3944,1
-1417,-604,3885,1
-1421,-556,3849,1
-1346,-582,3904,1
-1149,-481,3966,1
-1020,-424,3960,1
-993,-384,3906,1
-1056,-435,3855,1
-1182,-543,4033,1
-938,-406,3962,1
-930,-418,3951,1
-1051,-470,3878,1
-1022,-466,3854,1
-1029,-497,3938,1
-1206,-605,4056,1
-1232,-593,3892,1
-1132,-569,3876,1
-999,-521,3956,1
-884,-474,3967,1
-937,-561,4103,1
-906,-567,4026,1
-908,-532,3992,1
-893,-484,3993,1
-858,-448,4013,1
-780,-452,4099,1
-735,-443,4110,1
-808,-458,4056,1
-1148,-568,4037,1
-1134,-577,4058,1
-1104,-549,4104,1
-1082,-536,4124,1
-1165,-562,4123,1
-1230,-571,4052,1
-1279,-585,3942,1
-1338,-641,3932,1
-1399,-668,3900,1
-1350,-645,3907,1
-1344,-653,3914,1
-1326,-632,3872,1
-1342,-680,3874,1
-1339,-666,3897,1
-1304,-668,3937,1
-1290,-623,3917,1
-1215,-628,3951,1
-1246,-587,3967,1
-1237,-584,3930,1
-1240,-604,3946,1
-1297,-620,3998,1
-1256,-613,4012,1
-1276,-593,3978,1
-1287,-606,3968,1
-1307,-605,3976,1
-1300,-607,3968,1
-1336,-617,3976,1
-1337,-615,3997,1
-1334,-619,4047,1
-1320,-613,4016,1
-1313,-603,3983,1
-1307,-595,3966,1
-1279,-614,3956,1
-1275,-606,3972,1
-1264,-600,3990,1
-1269,-598,3935,1
-1290,-606,3950,1
-1286,-614,3985,1
-1234,-586,3942,1
-1227,-593,3914,1
-1221,-563,3961,1
-1237,-586,3964,1
-1256,-597,3930,1
-1261,-601,3953,1
-1253,-617,3951,1
-1216,-578,3947,1
-1232,-576,3927,1
-1229,-582,3963,1
-1251,-585,3981,1
-1223,-602,3959,1
-1213,-594,3993,1
-1221,-592,3916,1
-1246,-590,3981,1
-1231,-602,3973,1
-1234,-585,4010,1
-1208,-572,4010,1
-1226,-547,3988,1
-1237,-576,3986,1
-1247,-589,3979,1
-1263,-591,3992,1
-1231,-563,3946,1
-1239,-578,3989,1
-1217,-587,3978,1
-1246,-604,3975,1
-1221,-592,3955,1
-1198,-583,3976,1
-1260,-582,3993,1
-1245,-589,3971,1
