AccelerometerX,AccelerometerY,AccelerometerZ,Gesture,GyroscopeX,GyroscopeY,GyroscopeZ
-1580.0,873.0,7433.0,A,-2866.0,-176.0,284.0
-1451.0,846.0,7354.0,A,-2947.0,-775.0,435.0
-1431.0,847.0,7148.0,A,-3122.0,-1348.0,517.0
-1445.0,819.0,6928.0,A,-3161.0,-1645.0,534.0
-1384.0,739.0,6791.0,A,-2971.0,-1553.0,509.0
-1236.0,622.0,6674.0,A,-2598.0,-1188.0,472.0
-1081.0,503.0,6492.0,A,-2130.0,-771.0,456.0
-961.0,414.0,6297.0,A,-1672.0,-449.0,459.0
-871.0,369.0,6185.0,A,-1351.0,-275.0,454.0
-812.0,349.0,6101.0,A,-1208.0,-242.0,417.0
-794.0,319.0,5928.0,A,-1147.0,-302.0,355.0
-790.0,268.0,5685.0,A,-1043.0,-378.0,287.0
-780.0,230.0,5507.0,A,-885.0,-419.0,225.0
-801.0,226.0,5403.0,A,-732.0,-417.0,165.0
-882.0,233.0,5238.0,A,-603.0,-378.0,107.0
-951.0,208.0,4960.0,A,-463.0,-294.0,54.0
-918.0,150.0,4708.0,A,-306.0,-185.0,17.0
-803.0,93.0,4605.0,A,-156.0,-103.0,5.0
-717.0,55.0,4586.0,A,-26.0,-71.0,22.0
-694.0,28.0,4531.0,A,98.0,-55.0,51.0
-673.0,0.0,4442.0,A,206.0,-11.0,73.0
-624.0,-23.0,4403.0,A,267.0,38.0,71.0
-601.0,-45.0,4406.0,A,266.0,41.0,53.0
-637.0,-70.0,4377.0,A,229.0,-11.0,27.0
-687.0,-95.0,4310.0,A,190.0,-65.0,1.0
-704.0,-106.0,4272.0,A,173.0,-71.0,-23.0
-694.0,-113.0,4278.0,A,174.0,-30.0,-44.0
-675.0,-137.0,4261.0,A,178.0,21.0,-52.0
-642.0,-180.0,4200.0,A,166.0,60.0,-43.0
-607.0,-209.0,4160.0,A,146.0,83.0,-27.0
-604.0,-201.0,4190.0,A,138.0,107.0,-14.0
-640.0,-170.0,4250.0,A,152.0,140.0,-12.0
-675.0,-148.0,4269.0,A,169.0,173.0,-16.0
-684.0,-145.0,4242.0,A,175.0,182.0,-23.0
-740.0,-103.0,4608.0,A,-242.0,95.0,68.0
-744.0,-124.0,4640.0,A,-297.0,31.0,87.0
-747.0,-108.0,4769.0,A,-476.0,-99.0,90.0
-715.0,-80.0,4905.0,A,-567.0,-155.0,81.0
-665.0,-85.0,4931.0,A,-445.0,-81.0,79.0
-632.0,-110.0,4876.0,A,-255.0,20.0,91.0
-600.0,-112.0,4875.0,A,-181.0,68.0,91.0
-557.0,-73.0,4982.0,A,-198.0,102.0,60.0
-562.0,-1.0,5124.0,A,-179.0,168.0,4.0
-670.0,96.0,5245.0,A,-149.0,219.0,-62.0
-786.0,195.0,5396.0,A,-201.0,235.0,-146.0
-742.0,237.0,5628.0,A,-260.0,291.0,-242.0
-531.0,204.0,5885.0,A,-141.0,414.0,-314.0
-354.0,158.0,6069.0,A,123.0,446.0,-327.0
-360.0,186.0,6199.0,A,253.0,237.0,-316.0
-474.0,280.0,6369.0,A,86.0,-119.0,-357.0
-536.0,362.0,6601.0,A,-165.0,-367.0,-487.0
-529.0,387.0,6808.0,A,-161.0,-386.0,-649.0
-543.0,392.0,6925.0,A,216.0,-260.0,-768.0
-596.0,407.0,6970.0,A,829.0,-86.0,-815.0
-621.0,422.0,6976.0,A,1491.0,118.0,-822.0
-614.0,425.0,6933.0,A,2057.0,309.0,-824.0
-651.0,442.0,6872.0,A,2434.0,393.0,-841.0
-760.0,493.0,6897.0,A,2631.0,365.0,-874.0
-864.0,560.0,7081.0,A,2807.0,353.0,-913.0
-871.0,606.0,7338.0,A,3101.0,425.0,-937.0
-763.0,597.0,7483.0,A,3453.0,453.0,-939.0
-574.0,499.0,7389.0,A,3658.0,230.0,-930.0
-370.0,327.0,7072.0,A,3619.0,-304.0,-934.0
-253.0,169.0,6630.0,A,3434.0,-1011.0,-970.0
-288.0,128.0,6174.0,A,3287.0,-1643.0,-1053.0
-419.0,190.0,5785.0,A,3315.0,-1950.0,-1180.0
-502.0,246.0,5526.0,A,3576.0,-1793.0,-1322.0
-481.0,241.0,5429.0,A,4009.0,-1234.0,-1420.0
-425.0,230.0,5502.0,A,4456.0,-493.0,-1434.0
-403.0,253.0,5700.0,A,4810.0,254.0,-1362.0
-374.0,262.0,5932.0,A,5151.0,972.0,-1234.0
-285.0,209.0,6091.0,A,5599.0,1627.0,-1076.0
-169.0,125.0,6091.0,A,6091.0,2065.0,-923.0
-104.0,37.0,5853.0,A,6406.0,2116.0,-817.0
-96.0,-93.0,5331.0,A,6434.0,1777.0,-788.0
-106.0,-272.0,4584.0,A,6235.0,1183.0,-828.0
-129.0,-383.0,3799.0,A,5853.0,462.0,-910.0
-197.0,-329.0,3152.0,A,5261.0,-282.0,-1014.0
-285.0,-198.0,2641.0,A,4581.0,-855.0,-1133.0
-321.0,-154.0,2166.0,A,4135.0,-1022.0,-1234.0
-278.0,-205.0,1716.0,A,4143.0,-729.0,-1281.0
-217.0,-209.0,1392.0,A,4484.0,-160.0,-1258.0
-195.0,-112.0,1215.0,A,4904.0,460.0,-1190.0
-201.0,-17.0,1094.0,A,5315.0,1046.0,-1102.0
-179.0,-9.0,974.0,A,5742.0,1578.0,-1009.0
-113.0,-33.0,905.0,A,6062.0,1965.0,-919.0
-38.0,-4.0,866.0,A,6061.0,2098.0,-854.0
-6.0,48.0,718.0,A,5703.0,1970.0,-831.0
-29.0,61.0,405.0,A,5162.0,1669.0,-860.0
-91.0,51.0,99.0,A,4552.0,1248.0,-938.0
-169.0,90.0,-32.0,A,3837.0,720.0,-1056.0
-264.0,183.0,-46.0,A,3023.0,155.0,-1186.0
-378.0,271.0,-94.0,A,2270.0,-287.0,-1297.0
-488.0,321.0,-155.0,A,1708.0,-501.0,-1365.0
-546.0,362.0,-104.0,A,1285.0,-524.0,-1395.0
-536.0,425.0,52.0,A,890.0,-467.0,-1396.0
-497.0,506.0,173.0,A,533.0,-402.0,-1377.0
-496.0,578.0,218.0,A,271.0,-354.0,-1342.0
-544.0,633.0,278.0,A,68.0,-368.0,-1309.0
-596.0,676.0,395.0,A,-170.0,-481.0,-1293.0
-609.0,725.0,491.0,A,-432.0,-656.0,-1295.0
-612.0,782.0,524.0,A,-607.0,-785.0,-1297.0
-670.0,833.0,551.0,A,-673.0,-815.0,-1292.0
-808.0,864.0,624.0,A,-752.0,-794.0,-1290.0
-971.0,900.0,731.0,A,-974.0,-800.0,-1309.0
-1096.0,977.0,893.0,A,-1325.0,-831.0,-1347.0
-1186.0,1093.0,1160.0,A,-1686.0,-834.0,-1388.0
-1281.0,1197.0,1507.0,A,-1964.0,-791.0,-1411.0
-1374.0,1243.0,1823.0,A,-2151.0,-743.0,-1410.0
-1394.0,1218.0,2050.0,A,-2272.0,-736.0,-1377.0
-1311.0,1127.0,2219.0,A,-2348.0,-796.0,-1303.0
-1194.0,981.0,2356.0,A,-2388.0,-918.0,-1183.0
-1138.0,829.0,2445.0,A,-2409.0,-1058.0,-1043.0
-1153.0,743.0,2519.0,A,-2429.0,-1120.0,-925.0
-1194.0,765.0,2640.0,A,-2468.0,-1043.0,-862.0
-1244.0,866.0,2787.0,A,-2554.0,-879.0,-846.0
-1323.0,981.0,2876.0,A,-2724.0,-767.0,-850.0
-1405.0,1052.0,2926.0,A,-2972.0,-784.0,-852.0
-1434.0,1046.0,3038.0,A,-3236.0,-893.0,-844.0
-1420.0,956.0,3203.0,A,-3423.0,-1016.0,-820.0
-1456.0,824.0,3275.0,A,-3486.0,-1112.0,-781.0
-1594.0,719.0,3218.0,A,-3435.0,-1147.0,-735.0
-1773.0,688.0,3194.0,A,-3329.0,-1085.0,-699.0
-1903.0,714.0,3337.0,A,-3260.0,-953.0,-678.0
-1968.0,753.0,3577.0,A,-3337.0,-875.0,-669.0
-1991.0,768.0,3826.0,A,-3597.0,-940.0,-652.0
-1962.0,746.0,4153.0,A,-3953.0,-1095.0,-611.0
-1865.0,694.0,4636.0,A,-4237.0,-1205.0,-531.0
-1762.0,656.0,5142.0,A,-4346.0,-1212.0,-419.0
-1745.0,674.0,5457.0,A,-4300.0,-1152.0,-299.0
-1825.0,741.0,5580.0,A,-4193.0,-1079.0,-211.0
-1911.0,792.0,5678.0,A,-4120.0,-1023.0,-176.0
-1940.0,777.0,5822.0,A,-4155.0,-1032.0,-192.0
-1936.0,700.0,5929.0,A,-4302.0,-1134.0,-225.0
-1951.0,603.0,5990.0,A,-4460.0,-1264.0,-238.0
-1970.0,515.0,6143.0,A,-4472.0,-1285.0,-205.0
-1955.0,464.0,6471.0,A,-4271.0,-1123.0,-132.0
-1913.0,468.0,6833.0,A,-3920.0,-814.0,-47.0
-1891.0,512.0,7022.0,A,-3521.0,-458.0,21.0
-1887.0,533.0,6985.0,A,-3137.0,-159.0,63.0
-1846.0,488.0,6849.0,A,-2840.0,-25.0,76.0
-1730.0,395.0,6753.0,A,-2692.0,-111.0,69.0
-1587.0,318.0,6734.0,A,-2656.0,-340.0,59.0
-1490.0,288.0,6729.0,A,-2577.0,-544.0,65.0
-1457.0,285.0,6662.0,A,-2367.0,-630.0,84.0
-1431.0,266.0,6499.0,A,-2105.0,-642.0,92.0
-1369.0,215.0,6276.0,A,-1910.0,-647.0,74.0
-1290.0,156.0,6052.0,A,-1763.0,-633.0,39.0
-1240.0,134.0,5859.0,A,-1575.0,-573.0,10.0
-1225.0,160.0,5684.0,A,-1344.0,-497.0,-4.0
-1220.0,193.0,5503.0,A,-1143.0,-443.0,-13.0
-1207.0,184.0,5314.0,A,-970.0,-383.0,-21.0
-1195.0,140.0,5130.0,A,-771.0,-282.0,-18.0
-1181.0,104.0,4971.0,A,-560.0,-179.0,-5.0
-1152.0,88.0,4840.0,A,-420.0,-142.0,9.0
-1108.0,62.0,4729.0,A,-359.0,-153.0,24.0
-1071.0,21.0,4637.0,A,-297.0,-137.0,47.0
-1047.0,-2.0,4585.0,A,-186.0,-66.0,76.0
-1039.0,-257.0,4221.0,A,-105.0,-80.0,98.0
-1163.0,-312.0,4207.0,A,-81.0,-101.0,108.0
-1027.0,-248.0,4223.0,A,-60.0,-75.0,113.0
-548.0,-27.0,4265.0,A,-86.0,-3.0,104.0
-61.0,190.0,4318.0,A,-133.0,57.0,93.0
90.0,241.0,4355.0,A,-144.0,62.0,89.0
-28.0,175.0,4373.0,A,-115.0,34.0,89.0
-114.0,149.0,4384.0,A,-97.0,17.0,81.0
-68.0,193.0,4401.0,A,-101.0,13.0,64.0
-24.0,207.0,4419.0,A,-87.0,-14.0,48.0
-54.0,166.0,4434.0,A,-38.0,-71.0,44.0
-75.0,144.0,4438.0,A,-2.0,-115.0,47.0
-49.0,175.0,4421.0,A,-10.0,-114.0,55.0
-43.0,200.0,4382.0,A,-33.0,-77.0,63.0
-76.0,188.0,4353.0,A,-33.0,-40.0,72.0
-85.0,177.0,4360.0,A,-28.0,-26.0,77.0
-51.0,179.0,4393.0,A,-41.0,-38.0,79.0
-36.0,165.0,4412.0,A,-61.0,-59.0,77.0
-55.0,137.0,4408.0,A,-64.0,-71.0,72.0
-55.0,139.0,4401.0,A,-61.0,-63.0,60.0
-28.0,166.0,4399.0,A,-65.0,-47.0,47.0
-33.0,169.0,4395.0,A,-61.0,-39.0,35.0
-77.0,142.0,4385.0,A,-34.0,-46.0,30.0
-88.0,141.0,4374.0,A,-12.0,-53.0,33.0
-51.0,169.0,4353.0,A,-15.0,-54.0,41.0
-29.0,171.0,4325.0,A,-29.0,-54.0,56.0
-51.0,132.0,4313.0,A,-26.0,-64.0,68.0
